"fixed.acidity";"volatile.acidity";"residual.sugar";"chlorides";"total.sulfur.dioxide";"density";"pH";"sulphates";"alcohol";"quality";"pred.qual"
10,3;0,59;2,8;0,09;73;0,999;3,28;0,7;9,5;"good";0,997558255686844
10;0,49;11;0,071;50;1,0015;3,16;0,69;9,2;"good";0,997819788935939
10;0,49;11;0,071;50;1,0015;3,16;0,69;9,2;"good";0,997819788935939
11,6;0,53;3,65;0,121;14;0,9978;3,05;0,74;11,5;"good";0,995814700692877
10,3;0,44;4,5;0,107;13;0,998;3,28;0,83;11,5;"normal";0,995814700692877
13,4;0,27;2,6;0,082;21;1,0002;3,16;0,67;9,7;"good";0,997383900187447
10,7;0,46;2;0,061;15;0,9981;3,18;0,62;9,5;"normal";0,997558255686844
10,2;0,36;2,9;0,122;41;0,998;3,23;0,66;12,5;"good";0,994942923195893
10,2;0,36;2,9;0,122;41;0,998;3,23;0,66;12,5;"good";0,994942923195893
8;0,58;3,2;0,066;114;0,9973;3,22;0,54;9,4;"good";0,997645433436542
8,4;0,56;2,1;0,105;44;0,9958;3,13;0,52;11;"normal";0,996250589441369
7,9;0,65;2,5;0,078;38;0,9963;3,34;0,74;11,7;"good";0,99564034519348
11,9;0,695;3,4;0,128;21;0,9992;3,17;0,84;12,2;"good";0,995204456444988
8,9;0,43;1,9;0,052;16;0,9948;3,35;0,7;12,5;"good";0,994942923195893
7,8;0,43;2,8;0,08;58;0,9974;3,31;0,64;10,3;"normal";0,996860833689257
12,4;0,49;3;0,103;99;1,0008;3,16;1;11,5;"good";0,995814700692877
12,5;0,28;2,3;0,082;29;0,9997;3,11;1,36;9,8;"good";0,997296722437749
12,2;0,34;2,4;0,066;21;1;3,12;1,18;9,2;"good";0,997819788935939
10,6;0,42;2,7;0,065;18;0,9972;3,21;0,87;11,3;"good";0,995989056192274
10,9;0,39;1,8;0,118;14;0,9982;3,3;0,75;9,8;"good";0,997296722437749
10,9;0,39;1,8;0,118;14;0,9982;3,3;0,75;9,8;"good";0,997296722437749
11,9;0,57;2,6;0,082;32;1,0006;3,12;0,78;10,7;"good";0,996512122690464
7;0,685;1,9;0,067;63;0,9979;3,6;0,81;9,9;"normal";0,997209544688051
6,6;0,815;2,7;0,072;34;0,9955;3,58;0,89;12,3;"good";0,99511727869529
13,8;0,49;3;0,093;15;0,9986;3,02;0,93;12;"good";0,995378811944385
9,6;0,56;2,8;0,089;46;0,9979;3,11;0,92;10;"good";0,997122366938352
9,1;0,785;2,6;0,093;28;0,9994;3,36;0,86;9,4;"good";0,997645433436542
10,7;0,67;2,7;0,107;34;1,0004;3,28;0,98;9,9;"good";0,997209544688051
9,1;0,795;2,6;0,096;26;0,9994;3,35;0,83;9,4;"good";0,997645433436542
7,7;0,665;2,4;0,09;19;0,9974;3,27;0,73;9,3;"normal";0,997732611186241
13,5;0,53;4,8;0,12;77;1,0018;3,18;0,77;13;"normal";0,994507034447401
6,7;0,75;2,4;0,078;32;0,9955;3,55;0,61;12,8;"good";0,994681389946798
11,5;0,41;3;0,08;55;1,0001;3,26;0,88;11;"normal";0,996250589441369
10,5;0,42;2,95;0,116;29;0,997;3,24;0,75;11,7;"good";0,99564034519348
11,9;0,43;3,1;0,109;23;1;3,15;0,85;10,4;"good";0,996773655939559
12,6;0,38;2,6;0,088;41;1,001;3,17;0,68;9,8;"good";0,997296722437749
8,2;0,7;2;0,099;81;0,9973;3,19;0,7;9,4;"normal";0,997645433436542
8,6;0,45;2,6;0,086;50;0,9982;3,37;0,91;9,9;"good";0,997209544688051
11,9;0,58;2,5;0,072;37;0,9992;3,05;0,56;10;"normal";0,997122366938352
12,5;0,46;2;0,071;15;0,9988;2,99;0,87;10,2;"normal";0,996948011438956
12,8;0,615;5,8;0,083;42;1,0022;3,07;0,73;10;"good";0,997122366938352
10;0,42;3,4;0,107;21;0,9979;3,26;0,93;11,8;"good";0,995553167443782
12,8;0,615;5,8;0,083;42;1,0022;3,07;0,73;10;"good";0,997122366938352
10,4;0,575;2,6;0,076;24;1;3,16;0,69;9;"normal";0,997994144435336
10,3;0,34;2,8;0,159;75;0,9998;3,18;0,64;9,4;"normal";0,997645433436542
9,4;0,27;2,4;0,074;18;0,9962;3,2;1,13;12;"good";0,995378811944385
6,9;0,765;2,3;0,063;63;0,9975;3,57;0,78;9,9;"normal";0,997209544688051
7,9;0,24;1,6;0,056;25;0,9967;3,32;0,87;8,7;"good";0,998255677684431
9,1;0,28;1,8;0,067;46;0,9967;3,32;1,04;10,6;"good";0,996599300440162
7,4;0,55;2,2;0,106;72;0,9959;3,05;0,63;9,2;"normal";0,997819788935939
14;0,41;3,8;0,089;47;1,0014;3,01;0,81;10,8;"good";0,996424944940765
11,5;0,54;4,4;0,124;15;0,9984;3,01;0,83;11,8;"good";0,995553167443782
11,5;0,45;3;0,078;47;1,0003;3,26;1,11;11;"good";0,996250589441369
9,4;0,27;2,4;0,074;18;0,9962;3,2;1,13;12;"good";0,995378811944385
11,4;0,625;6,2;0,088;24;0,9988;3,11;0,99;13,3;"good";0,994245501198306
8,3;0,42;2,5;0,094;60;0,9979;3,31;0,7;10,8;"good";0,996424944940765
8,3;0,26;2;0,08;27;0,9974;3,21;0,8;9,4;"good";0,997645433436542
13,7;0,415;2,9;0,085;43;1,0014;3,06;0,8;10;"good";0,997122366938352
8,3;0,26;2;0,08;27;0,9974;3,21;0,8;9,4;"good";0,997645433436542
8,3;0,26;2;0,08;27;0,9974;3,21;0,8;9,4;"good";0,997645433436542
7,7;0,51;2,1;0,087;54;0,998;3,42;0,74;9,2;"normal";0,997819788935939
7,4;0,63;2,4;0,09;37;0,9979;3,43;0,76;9,7;"good";0,997383900187447
7,8;0,54;2;0,088;48;0,9981;3,41;0,74;9,2;"good";0,997819788935939
8,3;0,66;1,9;0,079;42;0,9972;3,31;0,54;9,6;"good";0,997471077937146
7,8;0,46;1,9;0,088;53;0,9981;3,43;0,74;9,2;"good";0,997819788935939
9,6;0,38;2,5;0,096;49;0,9982;3,19;0,7;10;"good";0,997122366938352
5,6;0,85;1,4;0,045;88;0,9924;3,56;0,82;12,9;"good";0,9945942121971
13,7;0,415;2,9;0,085;43;1,0014;3,06;0,8;10;"good";0,997122366938352
9,5;0,37;2;0,082;26;0,998;3,18;0,51;9,5;"normal";0,997558255686844
8,4;0,665;2;0,112;95;0,997;3,16;0,54;9,1;"normal";0,997906966685637
12,7;0,6;2,3;0,063;25;0,9997;3,03;0,57;9,9;"normal";0,997209544688051
12;0,37;4,2;0,066;38;1,0004;3,22;0,6;13;"good";0,994507034447401
11,5;0,59;2,6;0,087;49;0,9988;3,18;0,65;11;"good";0,996250589441369
11,5;0,59;2,6;0,087;49;0,9988;3,18;0,65;11;"good";0,996250589441369
8,7;0,765;2,3;0,064;42;0,9963;3,1;0,55;9,4;"normal";0,997645433436542
7,7;0,26;1,7;0,059;38;0,9949;3,29;0,47;10,8;"good";0,996424944940765
12,2;0,48;2,6;0,085;64;1;3,1;0,61;10,5;"good";0,99668647818986
11,4;0,6;2,7;0,085;41;0,9994;3,15;0,63;10,5;"good";0,99668647818986
7,7;0,69;2,7;0,075;27;0,9974;3,26;0,61;9,1;"normal";0,997906966685637
8,7;0,31;1,4;0,059;25;0,9966;3,36;0,76;10,1;"good";0,997035189188654
9,8;0,44;2,5;0,063;28;0,9981;3,24;0,65;10,8;"good";0,996424944940765
12;0,39;3;0,093;30;0,9996;3,18;0,63;10,8;"good";0,996424944940765
10,4;0,34;3,7;0,174;16;0,997;3,19;0,7;11,3;"good";0,995989056192274
12,5;0,46;4,5;0,07;49;0,9981;3,05;0,57;9,6;"bad";0,997471077937146
9;0,43;2,5;0,08;86;0,9987;3,38;0,62;9,5;"good";0,997558255686844
9,1;0,45;2,4;0,08;78;0,9987;3,38;0,62;9,5;"normal";0,997558255686844
7,1;0,735;1,9;0,1;77;0,9966;3,27;0,64;9,3;"normal";0,997732611186241
9,9;0,4;6,7;0,097;19;0,9986;3,27;0,82;11,7;"good";0,99564034519348
8,8;0,52;2,7;0,087;122;0,9982;3,26;0,61;9,5;"normal";0,997558255686844
10,6;0,48;2,2;0,111;20;0,997;3,26;0,66;11,7;"good";0,99564034519348
11,9;0,38;2;0,121;20;0,9996;3,24;0,76;10,4;"good";0,996773655939559
6,8;0,77;1,8;0,066;52;0,9976;3,62;0,68;9,9;"normal";0,997209544688051
9,5;0,56;2,4;0,089;67;0,9972;3,28;0,73;11,8;"good";0,995553167443782
6,6;0,84;2,3;0,059;48;0,9952;3,52;0,56;12,3;"good";0,99511727869529
7,7;0,96;2;0,047;60;0,9955;3,36;0,44;10,9;"normal";0,996337767191067
10,5;0,24;2,1;0,066;24;0,9978;3,15;0,9;11;"good";0,996250589441369
7,7;0,96;2;0,047;60;0,9955;3,36;0,44;10,9;"normal";0,996337767191067
6,6;0,84;2,3;0,059;48;0,9952;3,52;0,56;12,3;"good";0,99511727869529
6,4;0,67;2,1;0,045;48;0,9949;3,49;0,49;11,4;"good";0,995901878442575
9,5;0,78;1,9;0,077;32;0,9988;3,26;0,56;10,6;"good";0,996599300440162
9,1;0,52;1,3;0,07;30;0,9978;3,24;0,6;9,3;"normal";0,997732611186241
12,8;0,84;2,4;0,088;35;0,9997;3,1;0,6;10,4;"good";0,996773655939559
10,5;0,24;2,1;0,066;24;0,9978;3,15;0,9;11;"good";0,996250589441369
7,8;0,55;2,2;0,074;66;0,9974;3,25;0,56;9,2;"normal";0,997819788935939
11,9;0,37;2,3;0,078;24;0,9958;3;0,65;12,8;"good";0,994681389946798
12,3;0,39;2,3;0,091;18;1,0004;3,16;0,49;9,5;"normal";0,997558255686844
10,4;0,41;3,2;0,076;54;0,9996;3,15;0,89;9,9;"good";0,997209544688051
12,3;0,39;2,3;0,091;18;1,0004;3,16;0,49;9,5;"normal";0,997558255686844
8;0,67;2;0,06;62;0,9958;3,26;0,56;10,2;"good";0,996948011438956
11,1;0,45;3,2;0,066;22;0,9986;3,17;0,66;11,2;"good";0,996076233941972
10,4;0,41;3,2;0,076;54;0,9996;3,15;0,89;9,9;"good";0,997209544688051
7;0,62;1,5;0,062;50;0,9951;3,08;0,6;9,3;"normal";0,997732611186241
12,6;0,31;2,2;0,072;29;0,9987;2,88;0,82;9,8;"good";0,997296722437749
11,9;0,4;2,15;0,068;27;0,9988;3,06;0,68;11,3;"good";0,995989056192274
15,6;0,685;3,7;0,1;43;1,0032;2,95;0,68;11,2;"good";0,996076233941972
10;0,44;2,7;0,077;19;0,9963;3,23;0,63;11,6;"good";0,995727522943178
5,3;0,57;1,7;0,054;27;0,9934;3,57;0,84;12,5;"good";0,994942923195893
9,5;0,735;2,1;0,079;31;0,9986;3,23;0,56;10,1;"good";0,997035189188654
12,5;0,38;2,6;0,081;72;0,9996;3,1;0,73;10,5;"normal";0,99668647818986
9,3;0,48;2,1;0,127;16;0,9968;3,22;0,72;11,2;"normal";0,996076233941972
8,6;0,53;2;0,1;27;0,9967;3,2;0,56;10,2;"good";0,996948011438956
11,9;0,39;2,8;0,095;35;0,9994;3,1;0,61;10,8;"good";0,996424944940765
11,9;0,39;2,8;0,095;35;0,9994;3,1;0,61;10,8;"good";0,996424944940765
8,4;0,37;1,8;0,413;26;0,9979;3,06;1,06;9,1;"good";0,997906966685637
6,8;0,56;1,7;0,084;35;0,9968;3,44;0,63;10;"good";0,997122366938352
10,4;0,33;2,8;0,084;22;0,9998;3,26;0,74;11,2;"good";0,996076233941972
7;0,23;1,6;0,063;67;0,9952;3,5;0,63;11,1;"normal";0,99616341169167
11,3;0,62;5,2;0,086;19;0,9988;3,22;0,69;13,4;"good";0,994158323448608
8,9;0,59;2,3;0,095;22;0,9986;3,37;0,58;10,3;"normal";0,996860833689257
9,2;0,63;2,7;0,097;65;0,9988;3,28;0,58;9,6;"normal";0,997471077937146
10,4;0,33;2,8;0,084;22;0,9998;3,26;0,74;11,2;"good";0,996076233941972
11,6;0,58;2,2;0,074;47;1,0008;3,25;0,57;9;"bad";0,997994144435336
9,2;0,43;2,3;0,083;23;0,9976;3,35;0,61;11,3;"good";0,995989056192274
8,3;0,615;2,6;0,087;19;0,9982;3,26;0,61;9,3;"normal";0,997732611186241
11;0,26;2,55;0,085;25;0,997;3,18;0,61;11,8;"normal";0,995553167443782
11,5;0,315;2,1;0,084;15;0,9987;2,98;0,7;9,2;"good";0,997819788935939
10;0,29;2,9;0,098;26;1,0006;3,48;0,91;9,7;"normal";0,997383900187447
10,3;0,5;2;0,069;51;0,9982;3,16;0,72;11,5;"good";0,995814700692877
8,8;0,46;2,6;0,065;18;0,9947;3,32;0,79;14;"good";0,993635256950418
11,4;0,36;2,1;0,09;21;1;3,17;0,62;9,2;"good";0,997819788935939
8,7;0,82;1,2;0,07;48;0,9952;3,2;0,58;9,8;"normal";0,997296722437749
13;0,32;2,6;0,093;47;0,9996;3,05;0,61;10,6;"normal";0,996599300440162
9,6;0,54;2,4;0,081;52;0,997;3,2;0,71;11,4;"good";0,995901878442575
12,5;0,37;2,6;0,083;68;0,9995;3,15;0,82;10,4;"good";0,996773655939559
9,9;0,35;2,1;0,062;14;0,9971;3,26;0,79;10,6;"normal";0,996599300440162
10,5;0,28;1,7;0,08;24;0,9982;3,2;0,89;9,4;"good";0,997645433436542
9,6;0,68;2,2;0,087;28;0,9988;3,14;0,6;10,2;"normal";0,996948011438956
9,3;0,27;2;0,091;16;0,998;3,28;0,7;9,7;"normal";0,997383900187447
10,4;0,24;1,8;0,075;20;0,9977;3,18;1,06;11;"good";0,996250589441369
9,6;0,68;2,2;0,087;28;0,9988;3,14;0,6;10,2;"normal";0,996948011438956
9,4;0,685;2,7;0,077;31;0,9984;3,19;0,7;10,1;"good";0,997035189188654
10,6;0,28;15,5;0,069;23;1,0026;3,12;0,66;9,2;"normal";0,997819788935939
9,4;0,3;2,8;0,08;17;0,9964;3,15;0,92;11,7;"good";0,99564034519348
10,6;0,36;2,2;0,152;18;0,9986;3,04;1,05;9,4;"normal";0,997645433436542
10,6;0,36;2,2;0,152;18;0,9986;3,04;1,06;9,4;"normal";0,997645433436542
10,6;0,44;4,1;0,114;24;0,997;3,06;0,66;13,4;"good";0,994158323448608
10,2;0,67;1,9;0,054;17;0,9976;3,17;0,47;10;"normal";0,997122366938352
10,2;0,67;1,9;0,054;17;0,9976;3,17;0,47;10;"normal";0,997122366938352
10,2;0,645;1,8;0,053;14;0,9982;3,17;0,42;10;"good";0,997122366938352
11,6;0,32;2,8;0,081;67;1,0002;3,32;0,92;10,8;"good";0,996424944940765
9,3;0,39;2,6;0,073;26;0,9984;3,34;0,75;10,2;"good";0,996948011438956
9,3;0,775;2,8;0,078;56;0,9984;3,31;0,67;10,6;"good";0,996599300440162
9,2;0,41;2,5;0,055;25;0,9952;3,34;0,79;13,3;"good";0,994245501198306
8,9;0,4;2,6;0,052;27;0,995;3,32;0,9;13,4;"good";0,994158323448608
8,7;0,69;3;0,086;81;1,0002;3,48;0,74;11,6;"good";0,995727522943178
6,5;0,39;8,3;0,051;91;0,9952;3,44;0,55;12,1;"good";0,995291634194687
10,7;0,35;2,6;0,07;16;0,9972;3,15;0,65;11;"good";0,996250589441369
7,8;0,52;1,9;0,081;38;0,9984;3,43;0,65;9;"good";0,997994144435336
7,2;0,34;2,5;0,09;113;0,9966;3,32;0,79;11,1;"normal";0,99616341169167
10,7;0,35;2,6;0,07;16;0,9972;3,15;0,65;11;"good";0,996250589441369
8,7;0,69;3;0,086;81;1,0002;3,48;0,74;11,6;"good";0,995727522943178
7,8;0,52;1,9;0,081;38;0,9984;3,43;0,65;9;"good";0,997994144435336
10,4;0,44;6,55;0,074;76;0,999;3,17;0,85;12;"good";0,995378811944385
10,4;0,44;6,55;0,074;76;0,999;3,17;0,85;12;"good";0,995378811944385
10,5;0,26;1,9;0,078;24;0,9976;3,18;1,04;10,9;"good";0,996337767191067
10,5;0,24;1,8;0,077;22;0,9976;3,21;1,05;10,8;"good";0,996424944940765
10,2;0,49;2,9;0,072;26;0,9968;3,16;0,78;12,5;"good";0,994942923195893
10,4;0,24;1,8;0,075;21;0,9976;3,25;1,02;10,8;"good";0,996424944940765
11,2;0,67;2,3;0,084;13;1;3,17;0,71;9,5;"good";0,997558255686844
10;0,59;2,2;0,09;62;0,9994;3,18;0,63;10,2;"good";0,996948011438956
13,3;0,29;2,8;0,084;43;0,9986;3,04;0,68;11,4;"good";0,995901878442575
12,4;0,42;4,6;0,073;43;0,9978;3,02;0,61;9,5;"normal";0,997558255686844
10;0,59;2,2;0,09;62;0,9994;3,18;0,63;10,2;"good";0,996948011438956
10,7;0,4;2,1;0,125;49;0,998;3,03;0,81;9,7;"good";0,997383900187447
10,5;0,51;2,4;0,107;15;0,9973;3,09;0,66;11,8;"good";0,995553167443782
10,5;0,51;2,4;0,107;15;0,9973;3,09;0,66;11,8;"good";0,995553167443782
12,5;0,6;4,3;0,1;14;1,001;3,25;0,74;11,9;"good";0,995465989694083
10,4;0,61;2,1;0,2;16;0,9994;3,16;0,63;8,4;"bad";0,998517210933526
10,9;0,21;2,8;0,088;32;0,9972;3,22;0,68;11,7;"good";0,99564034519348
7,3;0,365;2,5;0,088;106;0,9966;3,36;0,78;11;"normal";0,996250589441369
9,8;0,25;2,7;0,088;33;0,9982;3,42;0,9;10;"good";0,997122366938352
7,6;0,41;2;0,088;43;0,998;3,48;0,64;9,1;"normal";0,997906966685637
9,2;0,43;2,4;0,086;116;0,9976;3,23;0,64;9,5;"normal";0,997558255686844
10,4;0,64;2,8;0,105;53;0,9998;3,24;0,67;9,9;"normal";0,997209544688051
7,3;0,365;2,5;0,088;106;0,9966;3,36;0,78;11;"normal";0,996250589441369
7;0,38;2,5;0,097;85;0,9962;3,39;0,77;11,4;"good";0,995901878442575
8,2;0,42;2,6;0,084;55;0,9988;3,34;0,75;8,7;"good";0,998255677684431
9,9;0,63;2,4;0,077;33;0,9974;3,09;0,57;9,4;"normal";0,997645433436542
9,1;0,22;2,1;0,078;28;0,999;3,41;0,87;10,3;"good";0,996860833689257
11,9;0,38;2,7;0,098;42;1,0004;3,16;0,61;10,3;"normal";0,996860833689257
11,9;0,38;2,7;0,098;42;1,0004;3,16;0,61;10,3;"normal";0,996860833689257
10,3;0,27;2,1;0,072;33;0,9956;3,22;0,66;12,8;"good";0,994681389946798
10;0,48;2,7;0,102;32;1;3,28;0,56;10;"good";0,997122366938352
9,1;0,22;2,1;0,078;28;0,999;3,41;0,87;10,3;"good";0,996860833689257
9,9;0,63;2,4;0,077;33;0,9974;3,09;0,57;9,4;"normal";0,997645433436542
8,1;0,825;2,1;0,084;13;0,9972;3,37;0,77;10,7;"good";0,996512122690464
12,9;0,35;5,8;0,066;35;1,0014;3,2;0,66;12;"good";0,995378811944385
11,2;0,5;5,15;0,1;17;0,9996;3,22;0,62;11,2;"normal";0,996076233941972
9,2;0,59;3,3;0,101;47;0,9988;3,26;0,67;9,6;"normal";0,997471077937146
9,5;0,46;6,3;0,064;17;0,9988;3,21;0,73;11;"good";0,996250589441369
9,3;0,715;2,1;0,07;20;0,9966;3,12;0,59;9,9;"normal";0,997209544688051
11,2;0,66;2,5;0,085;53;0,9993;3,06;0,72;11;"good";0,996250589441369
14,3;0,31;1,8;0,075;15;1,0008;2,86;0,79;8,4;"good";0,998517210933526
9,1;0,47;2,6;0,094;106;0,9982;3,08;0,59;9,1;"normal";0,997906966685637
7,5;0,55;2;0,078;28;0,9983;3,45;0,78;9,5;"good";0,997558255686844
10,6;0,31;2,5;0,067;21;0,9987;3,26;0,86;10,7;"good";0,996512122690464
12,4;0,35;2,6;0,079;69;0,9994;3,12;0,75;10,4;"good";0,996773655939559
9;0,53;1,9;0,171;25;0,9975;3,27;0,61;9,4;"good";0,997645433436542
6,8;0,51;2,1;0,074;25;0,9958;3,33;0,56;9,5;"good";0,997558255686844
9,4;0,43;2,8;0,092;45;0,998;3,19;0,73;10;"good";0,997122366938352
9,5;0,46;2,7;0,092;44;0,998;3,12;0,74;10;"good";0,997122366938352
5;1,04;1,6;0,05;96;0,9934;3,74;0,62;11,5;"normal";0,995814700692877
15,5;0,645;4,2;0,095;23;1,00315;2,92;0,74;11,1;"normal";0,99616341169167
15,5;0,645;4,2;0,095;23;1,00315;2,92;0,74;11,1;"normal";0,99616341169167
10,9;0,53;4,6;0,118;17;1,0002;3,07;0,56;11,7;"good";0,99564034519348
15,6;0,645;4,2;0,095;23;1,00315;2,92;0,74;11,1;"normal";0,99616341169167
10,9;0,53;4,6;0,118;17;1,0002;3,07;0,56;11,7;"good";0,99564034519348
13;0,47;4,3;0,085;47;1,0021;3,3;0,68;12,7;"good";0,994768567696496
12,7;0,6;2,8;0,075;19;0,9994;3,14;0,57;11,4;"normal";0,995901878442575
9;0,44;2,4;0,078;121;0,9978;3,23;0,58;9,2;"normal";0,997819788935939
9;0,54;2,9;0,094;110;0,9982;3,08;0,61;9,2;"normal";0,997819788935939
7,6;0,29;2,7;0,092;60;0,9971;3,31;0,61;10,1;"good";0,997035189188654
13;0,47;4,3;0,085;47;1,0021;3,3;0,68;12,7;"good";0,994768567696496
12,7;0,6;2,8;0,075;19;0,9994;3,14;0,57;11,4;"normal";0,995901878442575
8,7;0,7;2,5;0,226;15;0,9991;3,32;0,6;9;"good";0,997994144435336
8,7;0,7;2,5;0,226;15;0,9991;3,32;0,6;9;"good";0,997994144435336
9,8;0,5;2,6;0,25;20;0,999;3,31;0,79;10,7;"good";0,996512122690464
6,2;0,36;2,2;0,095;42;0,9946;3,57;0,57;11,7;"good";0,99564034519348
11,5;0,35;3,3;0,07;37;1,0003;3,32;0,91;11;"good";0,996250589441369
6,2;0,36;2,2;0,095;42;0,9946;3,57;0,57;11,7;"good";0,99564034519348
10,2;0,24;2,4;0,075;28;0,9978;3,14;0,61;10,4;"normal";0,996773655939559
10,5;0,59;2,1;0,07;47;0,9991;3,3;0,56;9,6;"bad";0,997471077937146
10,6;0,34;3,2;0,078;78;0,9992;3,19;0,7;10;"good";0,997122366938352
12,3;0,27;3,1;0,079;46;0,9993;3,2;0,8;10,2;"good";0,996948011438956
9,9;0,5;2,3;0,103;14;0,9978;3,34;0,52;10;"bad";0,997122366938352
8,8;0,44;2,8;0,083;111;0,9982;3,3;0,6;9,5;"normal";0,997558255686844
8,8;0,47;2,9;0,085;110;0,9982;3,29;0,6;9,8;"normal";0,997296722437749
10,6;0,31;2,2;0,063;40;0,9976;3,14;0,51;9,8;"good";0,997296722437749
12,3;0,5;2,2;0,089;14;1,0002;3,19;0,44;9,6;"normal";0,997471077937146
12,3;0,5;2,2;0,089;14;1,0002;3,19;0,44;9,6;"normal";0,997471077937146
11,7;0,49;2,2;0,083;15;1;3,19;0,43;9,2;"normal";0,997819788935939
12;0,28;1,9;0,074;21;0,9976;2,98;0,66;9,9;"good";0,997209544688051
11,8;0,33;3,4;0,093;80;1,0002;3,3;0,76;10,7;"good";0,996512122690464
7,6;0,51;2,4;0,091;38;0,998;3,47;0,66;9,6;"good";0,997471077937146
11,1;0,31;2,7;0,094;47;0,9986;3,12;1,02;10,6;"good";0,996599300440162
7,3;0,73;1,9;0,108;102;0,9967;3,26;0,59;9,3;"normal";0,997732611186241
5;0,42;2;0,06;50;0,9917;3,72;0,74;14;"good";0,993635256950418
10,2;0,29;2,6;0,059;13;0,9976;3,05;0,74;10,5;"good";0,99668647818986
9;0,45;2,6;0,084;75;0,9987;3,35;0,57;9,7;"normal";0,997383900187447
9;0,45;2,6;0,084;75;0,9987;3,35;0,57;9,7;"normal";0,997383900187447
9,9;0,49;3,5;0,094;43;1,0004;3,29;0,58;9;"normal";0,997994144435336
7,9;0,72;2,6;0,096;38;0,9978;3,4;0,53;9,5;"normal";0,997558255686844
8,9;0,595;7,9;0,086;109;0,9998;3,27;0,57;9,3;"normal";0,997732611186241
12,4;0,4;2;0,059;24;0,9994;3,04;0,6;9,3;"good";0,997732611186241
11,9;0,58;1,9;0,071;18;0,998;3,09;0,63;10;"good";0,997122366938352
8,5;0,585;2,1;0,078;30;0,9967;3,2;0,48;9,8;"good";0,997296722437749
12,7;0,59;2,3;0,082;22;1;3;0,7;9,3;"good";0,997732611186241
8,2;0,915;2,1;0,088;23;0,9962;3,26;0,47;10;"bad";0,997122366938352
13,2;0,46;2,2;0,071;35;1,0006;3,1;0,56;9;"good";0,997994144435336
7,7;0,835;2,6;0,081;14;0,9975;3,3;0,52;9,3;"normal";0,997732611186241
13,2;0,46;2,2;0,071;35;1,0006;3,1;0,56;9;"good";0,997994144435336
8,3;0,58;2,9;0,096;63;0,9984;3,17;0,62;9,1;"good";0,997906966685637
8,3;0,6;2,6;0,085;24;0,9984;3,31;0,59;9,2;"good";0,997819788935939
9,4;0,41;4,6;0,072;20;0,9973;3,34;0,79;12,2;"good";0,995204456444988
8,8;0,48;3,3;0,092;52;0,9982;3,31;0,53;10,5;"good";0,99668647818986
10,1;0,65;5,1;0,11;65;1,0026;3,32;0,64;10,4;"good";0,996773655939559
6,3;0,36;3,2;0,075;39;0,9956;3,56;0,52;12,7;"good";0,994768567696496
8,8;0,24;2,5;0,083;57;0,9983;3,39;0,54;9,2;"normal";0,997819788935939
13,2;0,38;2,7;0,081;16;1,0006;2,98;0,54;9,4;"normal";0,997645433436542
7,5;0,64;2,4;0,077;29;0,9965;3,32;0,6;10;"good";0,997122366938352
8,2;0,39;1,5;0,058;29;0,9962;3,26;0,74;9,8;"normal";0,997296722437749
9,2;0,755;2,2;0,148;103;0,9969;2,87;1,36;10,2;"good";0,996948011438956
9,6;0,6;2,3;0,079;71;0,9997;3,5;0,57;9,7;"normal";0,997383900187447
9,6;0,6;2,3;0,079;71;0,9997;3,5;0,57;9,7;"normal";0,997383900187447
11,5;0,31;2,2;0,079;28;0,9982;3,03;0,93;9,8;"good";0,997296722437749
11,4;0,46;2,7;0,122;17;1,0006;3,13;0,7;10,2;"normal";0,996948011438956
11,3;0,37;2,3;0,088;16;0,9988;3,09;0,8;9,3;"normal";0,997732611186241
8,3;0,54;3,4;0,076;112;0,9976;3,27;0,61;9,4;"normal";0,997645433436542
8,2;0,56;3,4;0,078;104;0,9976;3,28;0,62;9,4;"normal";0,997645433436542
10;0,58;1,9;0,08;32;0,9974;3,13;0,55;9,5;"normal";0,997558255686844
7,9;0,51;2,9;0,077;45;0,9974;3,49;0,96;12,1;"good";0,995291634194687
6,8;0,69;5,6;0,124;58;0,9997;3,46;0,72;10,2;"normal";0,996948011438956
6,8;0,69;5,6;0,124;58;0,9997;3,46;0,72;10,2;"normal";0,996948011438956
8,8;0,6;2,2;0,098;15;0,9988;3,36;0,49;9,1;"normal";0,997906966685637
8,8;0,6;2,2;0,098;15;0,9988;3,36;0,49;9,1;"normal";0,997906966685637
8,7;0,54;2,5;0,097;31;0,9976;3,27;0,6;9,3;"good";0,997732611186241
7,6;0,685;2,3;0,111;84;0,9964;3,21;0,61;9,3;"normal";0,997732611186241
8,7;0,54;2,5;0,097;31;0,9976;3,27;0,6;9,3;"good";0,997732611186241
10,4;0,28;2,7;0,105;19;0,9988;3,25;0,63;9,5;"normal";0,997558255686844
7,6;0,41;3;0,087;43;0,9964;3,32;0,57;10,5;"good";0,99668647818986
10,1;0,935;3,4;0,105;86;1,001;3,43;0,64;11,3;"bad";0,995989056192274
7,9;0,35;1,9;0,073;102;0,9964;3,27;0,58;9,5;"normal";0,997558255686844
8,7;0,84;1,4;0,065;33;0,9954;3,27;0,55;9,7;"normal";0,997383900187447
7,7;0,915;2,2;0,143;23;0,9964;3,35;0,65;10,2;"good";0,996948011438956
8,9;0,29;1,9;0,067;57;0,997;3,18;1,36;10,3;"good";0,996860833689257
9,9;0,54;2,3;0,071;40;0,9991;3,39;0,62;9,4;"normal";0,997645433436542
